,artist_individual,streams
14642,yung fin,3938
5250,Herbert Guðmundsson,4430
10723,Radiohead,4513
8403,Mari Kalkun,4540
1402,Bandana,4595
6971,Klíkan,4663
10035,Ott Lepland,4754
12633,Taukar,4784
2666,DEW8,4792
11049,Robin Juhkental,4792
1677,Bjartmar Guðlaugsson,4798
6757,Kelli Music,4806
9184,Mtsg,4853
10601,Pétur Örn Guðmundsson,4888
11017,Rita Ray,4899
13733,Whyrun,4906
12375,Suur Papa,4909
14416,iiola,4933
3612,Dúkkulísurnar,5007
13181,Tsuki,5010
7280,La Melo,5023
1968,Bussines,5023
5718,JE$Ú,5029
3701,Edda Heiðrún Backman,5037
13608,WATEVA,5041
10990,Riff Raff,5053
2466,Clxpers,5167
12628,Tatli,5253
11430,Salsakommúnan,5270
5571,Inspector Spacetime,5319
7306,Lacanda,5330
10600,Pétur Jóhann,5373
13070,Tornike Kipiani,5382
10828,Raul,5387
8469,Markéta Irglová,5430
11979,Skunk Anansie,5486
5135,Hanna-Liina Vosa,5572
12237,Steindi Jr.,5602
1522,Ben Reilly,5611
9786,NýDönsk,5620
14620,wavytunesz,5713
389,Ade,5713
13188,Tubbo,5743
2025,CG5,5743
796,Ana Soklič,5771
1286,BLAFFI,5835
3577,Duo Ruut,5862
999,Aria,5961
12855,The Strokes,5988
8239,Magnús Jóhann,5996
8797,Mesa,6052
2400,Chromeo,6088
10293,Pentakill,6129
6236,Jorn Lande,6129
8327,Mandi Macias,6218
8877,Mika Noble,6253
11837,Sickluv,6253
9831,ONF,6288
5182,Hatari,6311
5337,Hospitāļu iela,6318
8500,Martina May,6332
2294,Chelly Flame,6342
6949,Kkay The Artist,6347
12284,Stove God Cooks,6357
2588,Curren$y,6455
5773,JUICYPEAR,6458
1612,Big Hamka,6482
5574,Instrumenti,6512
13545,Viru vokalais ansamblis,6516
11329,SMYAH,6517
12619,Tarvo Valm,6521
3503,Dr. Football,6561
13285,Uku Haasma,6594
4851,Golden Parazyth,6697
9008,Moe Bucks,6706
13773,Wite Katt,6732
1057,Arturs Skutelis un Tvērumi,6769
6546,Kahnin,6780
9863,Ods,6794
3978,Emmelie de Forest,6805
2916,DakhaBrakha,6827
8344,Manna,6851
13739,Wiesulis,6862
1131,Aureum Chaos,6862
14561,sangvn,6862
2573,Crystal Castles,6906
14731,Илиян,6920
8229,Magi Djanavarova,6954
13528,Vincent Bueno,7132
12272,Stig Rästa,7154
14680,Þjóðleikhúsið,7155
12302,Sturla Atlas,7155
6963,Kleins,7174
4396,Fomins,7174
9061,Monday Morning,7192
9145,Moy Baun,7215
12720,Tev tuvumā,7237
3273,Dimoff,7245
8977,Mitrevv,7245
10065,P.I.F.,7246
6978,Knīpas un Knauķi,7267
14691,Ģildes Muzikanti,7309
10844,Raxtu Raxti,7332
12774,The Drums,7395
13417,Vanilla Ninja,7403
371,Achilles King,7432
11735,Shantal,7432
14656,Á Móti Sól,7458
14683,Čikāgas piecīši,7463
14339,diso.kognityvas,7480
6094,Jluch,7482
5812,Jacy,7484
11084,Roham,7484
4744,Gerda Bieliauskaitė,7509
7011,Konstantinas Lilas,7570
6372,Jungle,7576
5717,JCI,7627
11565,Sav'o,7655
1383,Baltasis Kiras,7689
14163,Zane Dombrovska,7732
8245,Maher Zain,7761
12,-M-,7857
6130,Joey Myron,7897
11092,Rolands Ūdris,7914
10032,Otra Puse,7914
7610,Linda Amantova,7914
13150,TromBobby,7950
2005,C-MO,7950
6422,Jāzepa Mediņa Rīgas 1. Mūzikas Skolas Zēnu Koris,7969
10077,PARKHYUNJIN,8003
5655,Iveta,8033
11090,Rokas Yan,8033
6613,Kantoris 04,8046
6093,Jl Bout-It,8052
6681,Kastrācija,8061
10559,Projekts “Tev tuvumā”,8107
6420,Jānis Aišpurs,8122
5311,Hollup,8141
10867,Rebecca Moreland,8154
13957,Yenlik,8237
5006,Gústi B,8297
5518,Ilgi,8299
5682,J-Worry,8347
10395,Pienvedēja piedzīvojumi,8409
932,Antis,8508
3760,Eināra Verro Vokālā Grupa,8514
8615,Mawshahat Andalousyia,8544
11470,Sampa the Great,8558
9344,Nadeem Din-Gabisi,8558
10071,PALLY,8563
14259,Zvaigžņu koris,8593
7376,Latgalīšu Reps,8642
8813,Metronoms,8687
2641,DAVICHI,8743
11160,Royte,8753
361,Abudu,8821
8206,Madmatic,8838
8486,Mart Inc.,8853
2422,Circus Mircus,8968
11848,Siffi,9003
1542,Benji Ceez,9045
4565,GANG51E JUNE,9136
5063,HYO,9139
1889,Broo (JBC),9168
11680,Sestā Jūdze,9177
2984,Danny G,9318
6887,Kim Feel,9319
474,Ahmed Basyoni,9382
9649,Nizkiz,9388
5572,Inspo,9442
11040,Robert Linna,9479
5659,Ivo Linna,9479
5121,Han Yo Han,9483
11540,Sarkodie,9547
14523,peace.,9598
1577,Bet,9627
13149,Troka,9688
11471,Sampas40,9688
10654,RAAMIS,9745
3969,Emma Holzer,9766
966,Apollon,9814
3616,Džiugas Širvys,9815
14396,gintė,9815
11542,Sarukas,9815
511,Aistė Monika Mažeikaitė,9815
5998,Jeff Kush,9834
1904,Brunaliðið,9847
5088,Haikko 372,9881
8193,Made Kuti,9943
1503,Belaxs,9944
13655,Wajhi Farooki,10019
408,Adil Assil,10092
629,Alexander Petrov,10130
840,Andris Erglis & Cacao,10156
13217,Turnup Tun,10172
6712,Kay Be,10179
14208,Zeļļi,10218
5725,JEON MI DO,10229
3604,Dzintars Čīča,10297
9892,Olakira,10331
2746,DJ Kaywise,10375
6365,Jung Dong Ha,10475
10934,Republic,10497
11916,Sip€lga 14,10497
11288,"SGBOYZ (Jay Park, Don Mills, Loco, Nucksal)",10511
1896,Brown Eyes,10529
2587,Curly Strings,10532
12238,Steindinn okkar,10556
14465,lilcheatcod,10605
129,6VIB3Z,10605
13932,Yaw Tog,10662
12376,Suured tüdrukud,10728
3833,El Roockie,10833
13022,Tomas Trapal,10883
10408,Pinas,10884
6587,Kallop,10884
6279,Jozo Maka,10884
12176,Srajlon,10884
524,Ajlitol,10884
8530,Masr Pade,10885
4212,Falo,10885
10935,Rerkol,10885
12030,Snehllak,10885
10479,Pompis,10885
8175,Mackola,10885
3767,Ejzo Lajo,10885
9046,Molera,10885
7051,Kris Pampo,10885
9885,Ojeka,10885
10936,Rerla,10885
10161,Palis,10886
4345,Fisko,10886
8900,Miko Lajka,10886
4113,Evgana,10886
4313,Filas,10886
7321,Lakinosk,10886
13020,Tomas Kokot,10886
4034,Erik Majkla,10886
10465,Poldec,10886
4369,Flokip,10887
10392,Pickal,10887
4368,Flokino,10887
6965,Klepo,10887
4664,Gallgal,10887
4108,Eveg Jebo,10887
6995,Kokipo,10887
5093,Hajkino,10888
8268,Majdo,10889
11884,Simfono,10889
4388,FoKuS,10894
4062,Eslam Nabawy,10908
1201,Aziz Maraka,10945
3328,Dj Bobby Music,10963
4890,Grechka,10964
11867,Silfurtónar,10967
10501,Posadic,11129
14859,معاذ موزه,11172
14841,عبده مزيكا,11172
14863,ياسين ابوالدهب,11172
1380,Balloranking,11335
11190,Ruslana,11345
6642,Karen Ósk,11357
8811,Metro Marrs,11407
870,Angham,11438
14047,Yousef Joker,11452
10950,Rexx Life Raj,11455
5789,Jaagup Tuisk,11468
12092,Son Pascal,11500
11622,Secta,11519
17,030er,11520
4167,FLUGFÉLAGIÐ,11577
638,Aley La Nueve,11603
9206,MurdaBoyz,11687
14329,d6ni4l,11770
1094,Asnate Rancane,11834
11173,Rubén Blades,11844
6652,Karim Sabry,11869
13395,Valentina Olguin,11905
9279,NATIVE Sound System,11923
6541,Kadri Voorand,11932
6592,Kamaniu Silelis,11945
12995,Toby Shang,11948
1882,Broda Shaggi,11958
1725,Bliznacite,11997
6000,Jeka,12097
1044,Art-Smoke,12118
10710,Rabeh Saqer,12124
14837,شيمي,12131
6851,KiROT,12137
10716,Rad Museum,12158
10843,Rawzen,12179
9403,Nata Record,12251
11809,Sho Madjozi,12303
3402,Djulia,12310
7208,LL COOL J,12325
13723,White Money,12378
5075,Hafdís Ýr,12380
11872,Silly Walks Discotheque,12406
969,Apsi,12443
3840,El Tonto,12454
8160,Macario Mejia,12468
14504,nafla,12483
6607,Kang Seungwon,12641
1873,Brimkló,12647
2963,Daniel Habif,12682
9957,Oneill,12682
5081,Hagoula Kurdi,12708
104,3amorrri,12709
5455,IRAIDA,12731
4339,Fire On The Beat Prod,12767
12871,The Yutes,12812
13797,WurlD,12835
4882,Gram-Of-Fun,12840
11182,Rumen Borilov,12855
12228,Stefani,12855
1510,BellyDancer,12943
2655,DEIMI,12945
8105,MIYAVI,12994
10845,Ray Chen,12999
7059,Krizbeatz,13004
11945,Skales,13004
1341,Baby Rasta,13011
1308,BONES UK,13020
6550,Kaia-Liisa Kesler,13023
7151,L3arbe,13041
7790,Lsan L7a9,13041
12017,Smallgod,13042
13654,Waje,13046
9764,Nuri,13061
7191,LHAJ,13095
84,2WIN,13108
8834,Michael Giacchino,13150
12674,Teezee,13159
12742,The 5 Love,13183
6552,Kaih,13208
8930,Mina Okabe,13213
8330,Mandrake El Malocorita,13218
1136,AutoBost,13218
7733,Los Morenitos,13218
9582,Nightcore FR,13223
13603,W4,13236
5721,JEMINN,13236
12394,Swervy,13236
5397,Hwang Sang Jun,13236
3367,Dj Pee Raven,13241
13140,Tripcy,13241
1194,Azanti,13258
