,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
0,THE BEATLES,183.0,48,42,26,6
1,GARTH BROOKS,157.0,31,31,17,9
2,ELVIS PRESLEY,139.0,101,57,25,1
3,EAGLES,120.0,13,13,11,3
4,LED ZEPPELIN,111.5,19,18,14,5
5,MICHAEL JACKSON,85.0,15,13,9,2
6,BILLY JOEL,84.5,18,17,13,2
7,ELTON JOHN,79.0,38,28,14,1
8,AC/DC,75.0,22,20,12,1
9,PINK FLOYD,75.0,19,15,12,2
10,GEORGE STRAIT,69.0,39,33,13,0
11,BARBRA STREISAND,68.5,51,30,12,0
12,AEROSMITH,66.5,25,18,12,1
13,MARIAH CAREY,66.5,16,13,10,2
14,THE ROLLING STONES,66.5,43,28,11,1
15,BRUCE SPRINGSTEEN,65.5,22,17,11,2
16,MADONNA,64.5,20,17,12,2
17,METALLICA,63.0,13,13,11,1
18,WHITNEY HOUSTON,60.0,11,9,7,3
19,VAN HALEN,56.5,14,13,12,2
20,FLEETWOOD MAC,54.5,14,9,8,1
21,CELINE DION,51.0,13,11,8,2
22,U2,51.0,16,16,11,1
23,NEIL DIAMOND,49.5,40,21,12,0
24,JOURNEY,49.0,13,11,9,2
25,KENNY G,48.0,15,11,8,1
26,SHANIA TWAIN,48.0,5,5,4,3
27,KENNY ROGERS,47.5,28,17,7,1
28,ALABAMA,46.5,23,20,10,0
29,EMINEM,46.5,12,9,8,2
30,TAYLOR SWIFT,46.0,9,9,7,1
31,BOB SEGER & THE SILVER BULLET BAND,44.5,14,13,7,1
32,GUNS N' ROSES,44.5,8,7,5,1
33,ALAN JACKSON,43.5,18,15,8,0
34,SANTANA,43.5,21,10,7,1
35,QUEEN,43.0,20,12,8,0
36,REBA MC ENTIRE,41.0,27,19,9,0
37,ERIC CLAPTON,40.0,23,11,7,1
38,CHICAGO,38.5,23,18,8,0
39,SIMON & GARFUNKEL,38.5,12,11,7,1
40,FOREIGNER,38.0,11,9,7,0
41,ROD STEWART,38.0,27,19,10,0
42,TIM MCGRAW,37.5,14,11,9,0
43,BACKSTREET BOYS,37.0,5,5,3,2
44,2 PAC,36.5,10,9,6,2
45,BOB DYLAN,36.0,33,15,6,0
46,DEF LEPPARD,35.5,11,8,5,2
47,BON JOVI,34.5,14,11,5,1
48,BRITNEY SPEARS,34.5,9,8,4,2
49,DAVE MATTHEWS BAND,34.5,17,14,7,0
50,JOHN DENVER,33.5,22,13,7,0
51,PHIL COLLINS,33.5,10,7,6,1
52,JAMES TAYLOR,33.0,20,14,5,1
53,THE CHICKS,33.0,5,5,4,2
54,THE DOORS,33.0,20,14,5,1
55,R. KELLY,32.0,11,9,6,0
56,PEARL JAM,31.5,12,7,3,1
57,TOM PETTY & THE HEARTBREAKERS,31.5,15,8,5,1
58,WILLIE NELSON,31.5,18,15,6,0
59,BOSTON,31.0,5,5,4,1
60,KENNY CHESNEY,30.5,20,15,5,0
61,LINDA RONSTADT,30.0,17,13,7,0
62,OZZY OSBOURNE,29.0,14,12,9,0
63,LINKIN PARK,28.5,9,8,3,1
64,LYNYRD SKYNYRD,28.5,20,13,7,0
65,ADELE,28.0,3,3,3,2
66,BEE GEES,28.0,15,9,2,1
67,CREEDENCE CLEARWATER REVIVAL,28.0,13,9,6,1
68,MANNHEIM STEAMROLLER,28.0,18,8,4,0
69,MICHAEL BOLTON,28.0,9,7,6,0
70,N SYNC,28.0,4,4,4,2
71,NIRVANA,28.0,8,8,3,1
72,BARRY MANILOW,27.5,24,13,6,0
73,BROOKS & DUNN,27.5,12,11,6,0
74,JAY-Z,27.5,14,13,8,0
75,JOHN MELLENCAMP,27.5,15,12,5,0
76,BOYZ II MEN,27.0,7,5,4,1
77,FRANK SINATRA,27.0,34,10,4,0
78,ENYA,26.5,9,8,5,0
79,JANET JACKSON,26.0,8,8,6,0
80,RUSH,26.0,24,14,3,0
81,DRAKE,25.5,8,7,5,0
82,FAITH HILL,25.5,7,6,6,0
83,LUTHER VANDROSS,25.5,19,16,7,0
84,STEVE MILLER BAND,25.5,10,5,3,1
85,CREED,25.0,4,4,4,1
86,HOOTIE & THE BLOWFISH,25.0,3,3,2,1
87,MOTLEY CRUE,25.0,12,8,5,0
88,RED HOT CHILI PEPPERS,25.0,10,8,6,0
89,TOBY KEITH,25.0,18,12,5,0
90,ZZ TOP,25.0,11,7,4,1
91,R.E.O. SPEEDWAGON,24.5,13,8,4,1
92,THE CARPENTERS,24.5,13,8,6,0
93,GREEN DAY,24.0,9,7,4,1
94,KANYE WEST,24.0,9,7,7,0
95,NICKELBACK,24.0,6,6,4,1
96,VINCE GILL,24.0,13,11,6,0
97,"EARTH, WIND & FIRE",23.5,14,9,6,0
98,JOHNNY CASH,23.5,19,10,6,0
99,KID ROCK,23.5,7,6,4,1
100,SADE,23.5,8,7,6,0
101,THE CARS,23.5,7,6,5,0
102,BEASTIE BOYS,23.0,7,7,6,1
103,JIMI HENDRIX,23.0,16,10,6,0
104,JIMMY BUFFETT,23.0,17,9,3,0
105,RIHANNA,23.0,8,8,7,0
106,TLC,23.0,4,4,3,1
107,HEART,22.5,14,9,6,0
108,LIONEL RICHIE,22.5,9,6,3,1
109,THE BEACH BOYS,22.5,20,9,6,0
110,USHER,22.5,6,5,3,1
111,DOOBIE BROTHERS,22.0,11,7,4,1
112,NELLY,22.0,7,5,3,1
113,OUTKAST,22.0,7,7,4,1
114,THE POLICE,22.0,8,8,4,0
115,BOB MARLEY & THE WAILERS,21.5,11,2,2,1
116,GENESIS,21.5,13,6,4,0
117,JUSTIN BIEBER,21.5,11,8,5,0
118,CARRIE UNDERWOOD,21.0,7,7,4,0
119,KISS,21.0,26,10,3,0
120,LIL WAYNE,21.0,11,9,4,0
121,MEAT LOAF,21.0,5,3,2,1
122,NOTORIOUS B.I.G.,21.0,5,5,3,1
123,THE WHO,21.0,18,12,5,0
124,ALANIS MORISSETTE,20.5,4,3,2,1
125,JOSH GROBAN,20.5,10,5,4,0
126,MARY J. BLIGE,20.5,13,8,6,0
127,PRINCE,20.5,18,11,4,0
128,ALICIA KEYS,20.0,6,6,4,0
129,R.E.M.,20.0,13,7,4,0
130,GRATEFUL DEAD,19.5,21,6,4,0
131,"HANK WILLIAMS, JR.",19.5,23,8,1,0
132,SMASHING PUMPKINS,19.5,9,6,2,1
133,STEVIE WONDER,19.5,12,7,2,1
134,TONI BRAXTON,19.5,6,3,3,0
135,MATCHBOX TWENTY,19.0,5,3,3,1
136,JACKSON BROWNE,18.5,11,8,3,0
137,JANIS JOPLIN,18.5,8,5,3,0
138,JEWEL,18.5,5,4,2,1
139,RASCAL FLATTS,18.5,8,7,5,0
140,SARAH MC LACHLAN,18.5,8,5,4,0
141,"CROSBY, STILLS, NASH & YOUNG",18.0,4,4,3,0
142,DESTINY'S CHILD,18.0,6,6,3,0
143,P!NK,18.0,8,8,5,0
144,RANDY TRAVIS,18.0,12,8,4,0
145,STING,18.0,11,9,5,0
146,THE MONKEES,18.0,9,7,4,0
147,CAROLE KING,17.5,8,3,1,1
148,JOHN MAYER,17.5,9,6,4,0
149,NEIL YOUNG,17.5,18,7,3,0
150,STONE TEMPLE PILOTS,17.5,5,4,3,0
151,STYX,17.5,13,6,5,0
152,AMY GRANT,17.0,13,7,3,0
153,BONNIE RAITT,17.0,9,3,3,0
154,BRYAN ADAMS,17.0,6,6,3,0
155,LADY GAGA,17.0,5,5,3,0
156,NORAH JONES,17.0,4,4,3,1
157,JOHNNY MATHIS,16.5,15,6,2,0
158,KORN,16.5,9,8,4,0
159,LEANN RIMES,16.5,9,6,3,0
160,LIMP BIZKIT,16.5,5,4,3,0
161,NEW KIDS ON THE BLOCK,16.5,5,4,4,0
162,ANDREA BOCELLI,16.0,14,10,3,0
